"stationName","lineName","operatorName","stationCode","externalCode","branchKey","destinationName","displayLabel","previousStation","nextStation","priority","isActive","note","searchTokens"
"둔촌동","5호선","서울교통공사","2555","P549","5호선-마천지선","마천행","둔촌동역 5호선 마천행","길동","굽은다리(강동구민회관앞)","1","true","마천 지선 진입","5호선|5호선역|둔촌동|둔촌동역|둔촌동역 5호선 마천|둔촌동역 5호선 마천행|둔촌동역 5호선 마천행역|마천|마천행|마천행역"
"마천","5호선","서울교통공사","2561","P555","5호선-마천지선","방화행","마천역 5호선 방화행","거여","미사","1","true","마천 지선 말단","5호선|5호선역|마천|마천역|마천역 5호선 방화|마천역 5호선 방화행|마천역 5호선 방화행역|방화|방화행|방화행역"
"미사","5호선","서울교통공사","2563","555","5호선-하남연장","방화행","미사역 5호선 방화행","마천","하남풍산","1","true","하남 연장 중간","5호선|5호선역|미사|미사역|미사역 5호선 방화|미사역 5호선 방화행|미사역 5호선 방화행역|방화|방화행|방화행역"
"방이","5호선","서울교통공사","2557","P551","5호선-마천지선","마천행","방이역 5호선 마천행","명일","고덕","1","true","마천 지선 중간","5호선|5호선역|마천|마천행|마천행역|방이|방이역|방이역 5호선 마천|방이역 5호선 마천행|방이역 5호선 마천행역"
"방화","5호선","서울교통공사","2511","510","5호선-본선","하남검단산행","방화역 5호선 하남검단산행","","개화산","1","true","본선 동쪽 기본","5호선|5호선역|방화|방화역|방화역 5호선 하남검단산|방화역 5호선 하남검단산행|방화역 5호선 하남검단산행역|하남검단산|하남검단산행|하남검단산행역"
"방화","5호선","서울교통공사","2511","510","5호선-마천지선","마천행","방화역 5호선 마천행","","개화산","2","true","마천 방면 분기 포함","5호선|5호선역|마천|마천행|마천행역|방화|방화역|방화역 5호선 마천|방화역 5호선 마천행|방화역 5호선 마천행역"
"상일동","5호선","서울교통공사","2554","553","5호선-하남연장","하남검단산행","상일동역 5호선 하남검단산행","개롱","강일","1","true","하남 연장 진입","5호선|5호선역|상일동|상일동역|상일동역 5호선 하남검단산|상일동역 5호선 하남검단산행|상일동역 5호선 하남검단산행역|하남검단산|하남검단산행|하남검단산행역"
"오금","5호선","서울교통공사","2558","P552","5호선-마천지선","마천행","오금역 5호선 마천행","고덕","개롱","1","true","마천 지선 중간","5호선|5호선역|마천|마천행|마천행역|오금|오금역|오금역 5호선 마천|오금역 5호선 마천행|오금역 5호선 마천행역"
"올림픽공원(한국체대)","5호선","서울교통공사","","","5호선-마천지선","마천행","올림픽공원(한국체대)역 5호선 마천행","굽은다리(강동구민회관앞)","명일","1","true","마천 지선 중간","5호선|5호선역|마천|마천행|마천행역|올림픽공원(한국체대)|올림픽공원(한국체대)역|올림픽공원(한국체대)역 5호선 마천|올림픽공원(한국체대)역 5호선 마천행|올림픽공원(한국체대)역 5호선 마천행역"
"하남검단산역","5호선","서울교통공사","","","5호선-하남연장","방화행","하남검단산역역 5호선 방화행","하남시청(덕풍.신장)","","1","true","하남 연장 말단","5호선|5호선역|방화|방화행|방화행역|하남검단산|하남검단산역|하남검단산역역 5호선 방화|하남검단산역역 5호선 방화행|하남검단산역역 5호선 방화행역"
"하남시청(덕풍.신장)","5호선","서울교통공사","","","5호선-하남연장","방화행","하남시청(덕풍.신장)역 5호선 방화행","하남풍산","하남검단산역","1","true","하남 연장 중간","5호선|5호선역|방화|방화행|방화행역|하남시청(덕풍.신장)|하남시청(덕풍.신장)역|하남시청(덕풍.신장)역 5호선 방화|하남시청(덕풍.신장)역 5호선 방화행|하남시청(덕풍.신장)역 5호선 방화행역"
"하남풍산","5호선","서울교통공사","2564","556","5호선-하남연장","방화행","하남풍산역 5호선 방화행","미사","하남시청(덕풍.신장)","1","true","하남 연장 중간","5호선|5호선역|방화|방화행|방화행역|하남풍산|하남풍산역|하남풍산역 5호선 방화|하남풍산역 5호선 방화행|하남풍산역 5호선 방화행역"
"구산","6호선","서울교통공사","2616","615","6호선-응암순환","봉화산행","구산역 6호선 봉화산행","연신내","새절(신사)","1","true","응암순환 구간","6호선|6호선역|구산|구산역|구산역 6호선 봉화산|구산역 6호선 봉화산행|구산역 6호선 봉화산행역|봉화산|봉화산행|봉화산행역"
"독바위","6호선","서울교통공사","2614","613","6호선-응암순환","봉화산행","독바위역 6호선 봉화산행","불광","연신내","1","true","응암순환 구간","6호선|6호선역|독바위|독바위역|독바위역 6호선 봉화산|독바위역 6호선 봉화산행|독바위역 6호선 봉화산행역|봉화산|봉화산행|봉화산행역"
